view_id,type,title,abstract
"MX-6M8ZV-4EJRP-GMHNS","cc","Marine Protected Areas (WDPA)","Marine Protected Areas are a subset of the World Database on Protected Areas (WDPA), the most comprehensive global database of marine and terrestrial protected areas. The subset includes only areas classed as Coastal (Marine and Terrestrial PA) or 100% Marine,  and is  updated on a monthly basis.<br/><br>The WDPA is a joint project between UN Environment and the International Union for Conservation of Nature (IUCN). The compilation and management of the WDPA is carried out by UN Environment Worl"
"MX-Y68ZB-P9UO1-8B7EG","cc","Terrestrial Protected Areas (WDPA)","Terrestial Protected Areas are a subset of the World Database on Protected Areas (WDPA), the most comprehensive global database of marine and terrestrial protected areas. The subset includes only areas classed as Terrestrial,  and is  updated on a monthly basis.<br/><br>The WDPA is a joint project between UN Environment and the International Union for Conservation of Nature (IUCN). The compilation and management of the WDPA is carried out by UN Environment World Conservation Monitoring Centre (U"
"MX-726D3-C0F95-0D97A","rt","Coral reefs distribution - 2022","This dataset shows the global distribution of coral reefs in tropical and subtropical regions. It is the most comprehensive global dataset of warm-water coral reefs to date, acting as a foundation baseline map for future, more detailed, work. This dataset was compiled from a number of sources by UNEP World Conservation Monitoring Centre (UNEP-WCMC) and the WorldFish Centre, in collaboration with WRI (World Resources Institute) and TNC (The Nature Conservancy). Data sources include the Millennium"
"MX-009FC-3D304-FFC6E","rt","Coral reefs protection opportunities to reduce tropical cyclone surge risk - 2022","This dataset shows the areas where coral reefs protection could be undertaken for reducing tropical cyclone surge physical exposure. Protection opportunities areas were considered for areas where the ecosystem coverage was above the median."
"MX-E6DAF-90757-43F74","rt","Coral reefs protection opportunities to reduce tropical cyclone surge risk - 2022 - National","This dataset shows the areas where coral reefs protection could be undertaken for reducing tropical cyclone surge physical exposure. Protection opportunities areas were considered for areas where the ecosystem coverage was above the median."
"MX-2696F-B8B49-88D76","rt","Coral reefs protection opportunities to reduce tsunami risk - 2022","This dataset shows the areas where coral reefs protection  could be undertaken for reducing tsunami physical exposure. Protection opportunities areas were considered for areas where the ecosystem coverage was above the median."
"MX-AFD95-73AFB-37667","rt","Coral reefs protection opportunities to reduce tsunami risk - 2022 - National","This dataset shows the areas where coral reefs protection  could be undertaken for reducing tsunami physical exposure. Protection opportunities areas were considered for areas where the ecosystem coverage was above the median."
"MX-E110B-36DB3-D8965","rt","Coral reefs restoration opportunities to reduce tropical cyclone surge risk - 2022","This dataset shows the areas where coral reefs restoration could be undertaken for reducing tropical cyclone surge physical exposure. Restoration opportunities areas were considered for areas where the ecosystem coverage was below the median."
"MX-5DAAF-3DD7B-90370","rt","Coral reefs restoration opportunities to reduce tropical cyclone surge risk - 2022 - National","This dataset shows the areas where coral reefs restoration could be undertaken for reducing tropical cyclone surge physical exposure. Restoration opportunities areas were considered for areas where the ecosystem coverage was below the median."
"MX-E8E11-2D02E-39874","rt","Coral reefs restoration opportunities to reduce tsunami risk - 2022","This dataset shows the areas where coral reefs restoration could be undertaken for reducing tsunami physical exposure. Restoration opportunities areas were considered for areas where the ecosystem coverage was below the median."
"MX-32216-76D20-E326F","rt","Coral reefs restoration opportunities to reduce tsunami risk - 2022 - National","This dataset shows the areas where coral reefs restoration could be undertaken for reducing tsunami physical exposure. Restoration opportunities areas were considered for areas where the ecosystem coverage was below the median."
"MX-05FA4-58EC2-41F74","rt","Coral reefs to reduce tropical cyclone surge risk - Others - 2022","This dataset shows additional areas where coral reef protection or restoration could be undertaken for reducing tropical cyclone surge risk; with more uncertainty than the associated 'protection' and 'restoration' datasets.

Grey cells show areas with hazard frequency but no population exposure: ecosystem-based approaches might be relevant in those areas by reducing hazard frequency and intensity and thus ultimately protecting population in downstream areas, for instance. White cells show areas "
"MX-D2F62-AC4EA-A9B69","rt","Coral reefs to reduce tropical cyclone surge risk - Others - 2022 - National","This dataset shows additional areas where coral reef protection or restoration could be undertaken for reducing tropical cyclone surge risk; with more uncertainty than the associated 'protection' and 'restoration' datasets.

Grey cells show areas with hazard frequency but no population exposure: ecosystem-based approaches might be relevant in those areas by reducing hazard frequency and intensity and thus ultimately protecting population in downstream areas, for instance. White cells show areas "
"MX-2EB5A-F4CB4-00066","rt","Coral reefs to reduce tsunami risk - Others - 2022","This dataset shows additional areas where coral reefs protection or restoration could be undertaken for reducing tsunami risk; with more uncertainty than the associated 'protection' and 'restoration' datasets.

Grey cells show areas with hazard frequency but no population exposure: ecosystem-based approaches might be relevant in those areas by reducing hazard frequency and intensity and thus ultimately protecting population in downstream areas, for instance. White cells show areas with hazard po"
"MX-5D5B7-C7B40-F2A6D","rt","Coral reefs to reduce tsunami risk - Others - 2022 - National","This dataset shows additional areas where coral reefs protection or restoration could be undertaken for reducing tsunami risk; with more uncertainty than the associated 'protection' and 'restoration' datasets.

Grey cells show areas with hazard frequency but no population exposure: ecosystem-based approaches might be relevant in those areas by reducing hazard frequency and intensity and thus ultimately protecting population in downstream areas, for instance. White cells show areas with hazard po"
