Category,Needed by UNDRR?,GRI layer,GRI source,GRI source URL,MapX status,MapX view ID,MapX view title,MapX project,Notes
Hazard,,River Flooding (Aqueduct),WRI Aqueduct Floods Hazard Maps,https://www.wri.org/aqueduct,Equivalent,MX-V07LO-829XA-4BIZ8; MX-21A2A-BED99-D8D78; MX-4918F-8A0E5-AF76B,Flood Hazard 25yr; Rivers flood frequency; Rivers flood exposure,MX-2LD-FBB-58N-ROK-8RH,"GAR-derived (not WRI Aqueduct). 25-1000yr return period model. Frequency and exposure layers available."
Hazard,,River Flooding (JRC),JRC Global River Flood Hazard Maps,https://data.europa.eu/89h/jrc-floods-floodmapgl_rp50y-tif,Not found in MapX,,,,"No JRC-labelled flood layers. GAR flood model available as alternative. Would need upload for JRC specifically."
Hazard,,Coastal Flooding (Aqueduct),WRI Aqueduct Floods Hazard Maps,https://www.wri.org/aqueduct,Partial,MX-8C214-22C3A-82165; MX-25384-3C43A-93E60,Cyclone surge exposure; Cyclone surge frequency,MX-2LD-FBB-58N-ROK-8RH,"Storm surge layers exist (cyclone-driven). No standalone sea-level-rise coastal flood layer found."
Hazard,,Tropical Cyclones (STORM),STORM dataset,https://doi.org/10.4121/14510817.v3,Yes,MX-10AE5-746D1-76777; MX-E180C-5B012-AFC77,Tropical cyclone exposure; Tropical cyclone frequency,MX-2LD-FBB-58N-ROK-8RH,"Confirmed STORM-based. Both exposure and frequency layers available."
Hazard,,Tropical Cyclones (IRIS),IRIS Imperial College Storm Model,https://doi.org/10.6084/m9.figshare.c.6724251.v1,Not found in MapX,,,,"MapX cyclone layers are STORM-based. IRIS would need upload."
Hazard,,Extreme Heat,"Lange et al 2020, ISIMIP",https://doi.org/10.1029/2020EF001616,Found (different source),MX-FDLYM-ZAN5P-3E91X; MX-TQ0L7-IPV3G-WYPA5; MX-X4LGD-JN81B-C9ISB,"Extreme heat recurrence 1995-2024; Areas exposed to extreme heat 2015-2024; Extreme heat risk spatial distribution",MX-SZX-UBT-FVM-R1V-BDJ,"Not ISIMIP-based but covers extreme heat. Recurrence maps and risk distribution available. Different methodology."
Hazard,,Droughts,"Lange et al 2020, ISIMIP",https://doi.org/10.1029/2020EF001616,Found (different source),MX-JPHPU-7WLZ6-8QSPJ; MX-85CLE-9M7P0-ZK4FI; MX-1L2TA-6FXPV-N3QMX,"Global Drought Hazard Frequency 1980-2000; Palmer Drought Severity Index by year; Water stress change RCP8.5","MX-ZU2-F8I-ZVS-JCK-FBQ; MX-0SA-E4R-H05-H6Z-F3O; MX-2LD-FBB-58N-ROK-8RH","Not ISIMIP but multiple drought datasets available: NASA frequency map, Palmer PDSI index, and projected water stress."
Hazard,,Landslide,Global Landslide Hazard Map (Arup / World Bank),,Yes,MX-04E66-2E550-81068; MX-05247-89997-66A64,Landslide exposure; Landslide frequency,MX-2LD-FBB-58N-ROK-8RH,"Earthquake + precipitation triggered. Both exposure and frequency layers."
Hazard,,Earthquakes,GEM Global Seismic Hazard Map,https://www.globalquakemodel.org/gem-maps/global-earthquake-hazard-map,Yes,MX-4XSGY-9URYF-WMICZ; MX-J3YTW-RUQN3-40P87; MX-KE2UX-GL8CM-IZSIA; MX-MWJ8Z-JYVYX-N9T0T; MX-SFF5U-3O2XL-SAIL9,"PGA 475yr; PGA 250yr; PGA 975yr; PGA 2475yr; PGA 1500yr",MX-CDC-CTV-4PZ-VQD-OZ3,"Full PGA suite at 5 return periods. Also live USGS feed: MX-YLZJG-JAIID-V27X5 in Eco-DRR."
Hazard,,Wildfires,,,Found,MX-3R1QD-TAPS3-ZMA19; MX-VU46I-40P48-JUNWZ,"Wildfire occurrences 2006-2025 (EFFIS); Burnt area recurrence 1995-2024","MX-R2F-467-2PL-J9H-CCR; MX-SZX-UBT-FVM-R1V-BDJ","Disabled in GRI but available in MapX. EFFIS-based wildfire data."
